Country,Year,MovieCount,MovieList,lat,lon
Afghanistan,1953,1,['Hello Paris'],33.7680065,66.2385139
Afghanistan,2011,1,['Buz-e-Chini'],33.7680065,66.2385139
Albania,1975,2,"['Zana and Miri', 'The Goose Maid']",5.7587654,-73.9151617
Albania,1976,2,"['Majlinda and the Little Bird', 'The Ear of Wheat']",5.7587654,-73.9151617
Albania,1985,1,['Headshoot'],5.7587654,-73.9151617
Albania,1992,1,['Composition'],5.7587654,-73.9151617
Albania,2009,1,['The Meaning of Life'],5.7587654,-73.9151617
Albania,2015,1,['Ethnophobia'],5.7587654,-73.9151617
Albania,2020,1,['YLLI'],5.7587654,-73.9151617
Algeria,2022,1,['Khamsa - The Well of Oblivion'],28.0000272,2.9999825
Argentina,1917,1,['The Apostle'],-34.9964963,-64.9672817
Argentina,1918,2,"['Without a Trace', 'Una noche de gala en el Colón']",-34.9964963,-64.9672817
Argentina,1919,1,['Los que ligan'],-34.9964963,-64.9672817
Argentina,1923,2,"['Firpo-Dempsey', 'Firpo-Brennan']",-34.9964963,-64.9672817
Argentina,1924,2,"['Uruguayos Forever', 'Humberto de Garufa']",-34.9964963,-64.9672817
Argentina,1925,2,"['Rhinoplastia', 'Gastronomía']",-34.9964963,-64.9672817
Argentina,1931,1,['Peludo City'],-34.9964963,-64.9672817
Argentina,1938,2,"['El mono relojero', 'Julián Centeya']",-34.9964963,-64.9672817
Argentina,1940,1,['La caza del puma'],-34.9964963,-64.9672817
Argentina,1942,1,['Úpa en apuros'],-34.9964963,-64.9672817
Argentina,1947,2,"['El refrán animado', 'Fábulas']",-34.9964963,-64.9672817
Argentina,1950,2,"['Puños de campeón', 'Vizcacha shorts']",-34.9964963,-64.9672817
Argentina,1952,1,['Ideítas'],-34.9964963,-64.9672817
Argentina,1953,1,['Hic...!'],-34.9964963,-64.9672817
Argentina,1954,1,['Puna'],-34.9964963,-64.9672817
Argentina,1956,2,"['Piripipí', 'Baladita']",-34.9964963,-64.9672817
Argentina,1957,1,['Sugus'],-34.9964963,-64.9672817
Argentina,1959,2,"['La primera fundación de Buenos Aires', 'Botellita']",-34.9964963,-64.9672817
Argentina,1960,1,['Una historia negra'],-34.9964963,-64.9672817
Argentina,1963,2,"['Comahue', 'Compacto Cupé']",-34.9964963,-64.9672817
Argentina,1965,1,['Toc Toc Toc'],-34.9964963,-64.9672817
Argentina,1968,1,['El Inmortal'],-34.9964963,-64.9672817
Argentina,1969,2,"['Bongo Rock', 'Puntos']",-34.9964963,-64.9672817
Argentina,1970,2,"['Perico y Martín', 'Telam']",-34.9964963,-64.9672817
Argentina,1972,1,"['Anteojito and Antifaz, A Thousand Attempts and One Invention']",-34.9964963,-64.9672817
Argentina,1973,1,['The Adventures of Hijitus'],-34.9964963,-64.9672817
Argentina,1975,2,"['Trapito', 'La danza de los cubos']",-34.9964963,-64.9672817
Argentina,1976,2,"['Alicia en el país de las maravillas', 'The four secrets']",-34.9964963,-64.9672817
Argentina,1977,1,['Danubio Azul'],-34.9964963,-64.9672817
Argentina,1978,2,"['El mago Fafá', 'Vigilar es defender']",-34.9964963,-64.9672817
Argentina,1982,2,"['Mafalda: The Movie', 'Bolero']",-34.9964963,-64.9672817
Argentina,1983,1,['Caraballo mató un gallo'],-34.9964963,-64.9672817
Argentina,1986,1,"['Gracias, Che Cortázar']",-34.9964963,-64.9672817
Argentina,1987,1,['At Which Table Will Jesus Sit?'],-34.9964963,-64.9672817
Argentina,1989,1,['El escudo del cóndor'],-34.9964963,-64.9672817
Argentina,1990,1,['Simulacro'],-34.9964963,-64.9672817
Argentina,1991,1,['Obertura'],-34.9964963,-64.9672817
Argentina,1993,1,['Once Upon a Forest'],-34.9964963,-64.9672817
Argentina,1996,1,['S.O.S Gulubú'],-34.9964963,-64.9672817
Argentina,1997,2,"['Dibu: La Película', 'The Dream']",-34.9964963,-64.9672817
Argentina,1998,1,['Dibu 2: La venganza de Nasty'],-34.9964963,-64.9672817
Argentina,1999,1,['Manuelita'],-34.9964963,-64.9672817
Argentina,2000,2,"['The Pintins to the Rescue', 'Cóndor Crux']",-34.9964963,-64.9672817
Argentina,2001,1,['The Challenge to Death'],-34.9964963,-64.9672817
Argentina,2002,5,"['Barbie Can Also Be Sad', 'Mercano the Martian', 'Los Peques Volumen 1', 'The Glove', 'Micaela, una película mágica']",-34.9964963,-64.9672817
Argentina,2003,1,['Faust'],-34.9964963,-64.9672817
Argentina,2004,4,"['Patoruzito', 'Gorgonas', 'Teo, cazador intergaláctico', 'El birque, génesis']",-34.9964963,-64.9672817
Argentina,2005,2,"['Journey to Mars', 'The Bird and the Man']",-34.9964963,-64.9672817
Argentina,2006,4,"['The Hairy Tooth Fairy', 'Patoruzito 2 : The Great Adventure', 'Sexteens', 'The Crane and the Giraffe']",-34.9964963,-64.9672817
Argentina,2007,4,"['The Ark', 'Isidoro, la película', 'Lapsus', 'Martin Fierro: The Movie']",-34.9964963,-64.9672817
Argentina,2008,6,"['The Employment', 'The Hairy Tooth Fairy 2', 'Muto', 'A Short Love Story in Stop Motion', 'Fear', 'Hola?']",-34.9964963,-64.9672817
