Studio,Country,Founded,lat,lon
Koko Enterprises,South Korea,1990,36.638392,127.6961188
WAU Animation,Malaysia,2013,4.5693754,102.2656823
Kurtz & Friends,United States,1981,39.7837304,-100.445882
Kyoto Animation,Japan,1981,36.5748441,139.2394179
LAIKA,United States,2005,39.7837304,-100.445882
Lastrego,Italy,1997,42.6384261,12.674297
Lay-duce,Japan,2013,36.5748441,139.2394179
Lerche,Japan,2011,36.5748441,139.2394179
Les Armateurs,France,1994,46.603354,1.8883335
Les' Copaque Production,Malaysia,2005,4.5693754,102.2656823
Liden Films,Japan,2012,36.5748441,139.2394179
Light Chaser Animation Studios,China,2013,35.0000663,104.999955
Littlenobody,United Kingdom,2004,54.7023545,-3.2765753
Locksmith Animation,United Kingdom,2014,54.7023545,-3.2765753
Lucasfilm Animation,United States,2003,39.7837304,-100.445882
Lumicel Animation Studios,India,2009,22.3511148,78.6677428
Mac Guff,France,1988,46.603354,1.8883335
Mac Guff,United States,1988,39.7837304,-100.445882
Mad Entertainment,Italy,2010,42.6384261,12.674297
Madhouse,Japan,1972,36.5748441,139.2394179
Maga Animation Studio,Italy,1996,42.6384261,12.674297
Magic Bus,Japan,1977,36.5748441,139.2394179
Magic Light Pictures,United Kingdom,2003,54.7023545,-3.2765753
Makuta VFX,India,2010,22.3511148,78.6677428
MAPPA,Japan,2011,36.5748441,139.2394179
March Entertainment,Canada,1996,61.0666922,-107.991707
Marvel Animation,United States,2008,39.7837304,-100.445882
Marvel Studios,United States,1993,39.7837304,-100.445882
Marza Animation Planet,Japan,2005,36.5748441,139.2394179
Melnitsa Animation Studio,Russia,1999,64.6863136,97.7453061
Mercury Filmworks,Canada,1997,61.0666922,-107.991707
Millepensee,Japan,2013,36.5748441,139.2394179
Millimages,France,1990,46.603354,1.8883335
Mirari Films,United States,1999,39.7837304,-100.445882
Misseri Studio,Italy,1960,42.6384261,12.674297
Mondo Media,United States,1988,39.7837304,-100.445882
Mondo TV,Italy,1985,42.6384261,12.674297
Mook Animation,Japan,1986,36.5748441,139.2394179
Moonbug Entertainment,United Kingdom,2018,54.7023545,-3.2765753
MTV Animation,United States,1986,39.7837304,-100.445882
Myrkott Animation Studio,Saudi Arabia,2014,24.217621,44.3222148
National Film Board of Canada,Canada,1939,61.0666922,-107.991707
Nelvana,Canada,1971,61.0666922,-107.991707
Netflix Animation,United States,2018,39.7837304,-100.445882
Nexus Studios,United Kingdom,2000,54.7023545,-3.2765753
Nexus Studios,United States,2000,39.7837304,-100.445882
Nickelodeon Animation Studio,United States,1990,39.7837304,-100.445882
Nitrogen Studios,Canada,2003,61.0666922,-107.991707
Nippon Animation,Japan,1962,36.5748441,139.2394179
Nomad,Japan,2003,36.5748441,139.2394179
NUT,Japan,2017,36.5748441,139.2394179
Omation Animation Studio,United States,1990,39.7837304,-100.445882
Oh! Production,Japan,1970,36.5748441,139.2394179
"OLM, Inc.",Japan,1995,36.5748441,139.2394179
Orange,Japan,2004,36.5748441,139.2394179
Ordet,Japan,2007,36.5748441,139.2394179
P.A. Works,Japan,2000,36.5748441,139.2394179
Pannónia Film Studio,Hungary,1951,47.1817585,19.5060937
Paramount Animation,United States,2011,39.7837304,-100.445882
Passion Pictures,United States,1987,39.7837304,-100.445882
Passion Pictures,United Kingdom,1987,54.7023545,-3.2765753
Passione,Japan,2013,36.5748441,139.2394179
Pearl Studio,China,2012,35.0000663,104.999955
Pentamedia Graphics,India,1998,22.3511148,78.6677428
Petersburg Animation Studio,Russia,2003,64.6863136,97.7453061
The People's Republic of Animation,Australia,2003,-24.7761086,134.755
Piranha NYC,United States,2009,39.7837304,-100.445882
Pixar,United States,1986,39.7837304,-100.445882
Plastic Wax,Australia,1997,-24.7761086,134.755
Plus One Animation,South Korea,1991,36.638392,127.6961188
Polygon Pictures,Japan,1983,36.5748441,139.2394179
Possible Worlds,United States,1996,39.7837304,-100.445882
Post Amazers,Pakistan,2002,30.3308401,71.247499
"Powerhouse Animation Studios, Inc.",United States,2001,39.7837304,-100.445882
Premavision/Clokey Productions,United States,1955,39.7837304,-100.445882
Production I.G,Japan,1987,36.5748441,139.2394179
Production Reed,Japan,1975,36.5748441,139.2394179
Psyop,United States,2000,39.7837304,-100.445882
Punkrobot Studio,Chile,2008,-31.7613365,-71.3187697
Radicial Axis,United States,2000,39.7837304,-100.445882
Ragdoll Productions,United Kingdom,1984,54.7023545,-3.2765753
Rainbow S.p.A.,Italy,1994,42.6384261,12.674297
Rainmaker Entertainment,Canada,1991,61.0666922,-107.991707
Red Kite Animation,United Kingdom,1997,54.7023545,-3.2765753
Reel FX Creative Studios,United States,1993,39.7837304,-100.445882
Renegade Animation,United States,1992,39.7837304,-100.445882
Renga Media,United Kingdom,1995,54.7023545,-3.2765753
Rhythm and Hues Studios,United States,1987,39.7837304,-100.445882
RingTales,United States,2006,39.7837304,-100.445882
Rooster Teeth,United States,2003,39.7837304,-100.445882
Rough Draft Studios,South Korea,1991,36.638392,127.6961188
Rough Draft Studios,United States,1991,39.7837304,-100.445882
Rubicon Group Holding,Jordan,2004,44.6663146,-93.6261918
Saerom Animation,South Korea,1987,36.638392,127.6961188
Sanzigen,Japan,2006,36.5748441,139.2394179
Satelight,Japan,1995,36.5748441,139.2394179
Sav! The World Productions,France,1998,46.603354,1.8883335
Savage Studios Ltd.,United States,1992,39.7837304,-100.445882
Se-ma-for,Poland,1947,52.215933,19.134422
SEK Studio,North Korea,1957,40.3736611,127.0870417
Seven Arcs,Japan,2002,36.5748441,139.2394179
Silver Link,Japan,2007,36.5748441,139.2394179
Skycron,Canada,2001,61.0666922,-107.991707
Skydance Animation Madrid,Spain,2002,39.3260685,-4.8379791
Shademaker Productions,United States,2010,39.7837304,-100.445882
ShadowMachine,United States,1999,39.7837304,-100.445882
SHAFT,Japan,1975,36.5748441,139.2394179
Shanghai Animation Film Studio,China,1957,35.0000663,104.999955
Shin-Ei Animation,Japan,1976,36.5748441,139.2394179
Six Point Harness,United States,2003,39.7837304,-100.445882
Slap Happy Cartoons,Canada,2004,61.0666922,-107.991707
SLR Productions,Australia,2002,-24.7761086,134.755
